snr,strategy,annual_return,annual_vol,cagr,sharpe,sortino,max_drawdown,calmar,avg_turnover,crra_ce_annual,accuracy
0.5,NarrativeRegimes,0.04229888568536334,0.06934557437728536,0.04065069783720254,0.3215617706768536,0.5281786692465101,-0.26490723681044814,0.15345257580218452,0.1696190695833943,0.030804109640528266,0.6851851851851852
0.5,RegimeOnly,0.04303014762146788,0.07214582443299368,0.041206747485106554,0.319216639389261,0.5346764710970341,-0.2654586775757949,0.15522848174115925,0.11597090270653973,0.030564499766581488,0.6697530864197531
0.5,NarrativeRegimes,0.02956568927528317,0.10538185685945946,0.024335002936968886,0.09077169031136234,0.13619176340122036,-0.33545584820742136,0.07254308746444003,0.8733808505266781,0.0021461663555768506,0.4660493827160494
0.5,RegimeOnly,0.023036657414888743,0.09627849106342481,0.018521722878306113,0.03154035113500379,0.04212544540515418,-0.3088323645278147,0.059973386878103475,0.6756162296686763,-0.0011899425950140374,0.29012345679012347
0.5,NarrativeRegimes,0.05111653556573725,0.09241462656102506,0.04791785138163718,0.33670574370811046,0.5787228808725392,-0.27260674689698294,0.17577646895051044,0.6547026098103128,0.030592933668551314,0.4506172839506173
0.5,RegimeOnly,0.040134874468854234,0.08593589686770631,0.03702129164463752,0.23430109189237638,0.30321316314634794,-0.3509480375374534,0.1054893821444623,0.300555536832464,0.02098653667806394,0.5216049382716049
0.5,NarrativeRegimes,0.026229211298316336,0.1045999008052277,0.02090733249692711,0.059552745751791474,0.0771997314543866,-0.429405315213504,0.04868903983298811,0.6509551820971673,-0.0022995480261926993,0.5308641975308642
0.5,RegimeOnly,0.039170665390755324,0.08556897596566981,0.03609677803805833,0.22403756939251637,0.31522837774802287,-0.32607512808895,0.11070080152881667,0.34912189755005385,0.0208289914861135,0.1697530864197531
0.5,NarrativeRegimes,0.020631777333696845,0.07843246226893254,0.017713273566333232,0.008055049088355507,0.012156149471406013,-0.2620585241179545,0.06759281586414016,0.467108839365641,0.005318075790206933,0.2345679012345679
0.5,RegimeOnly,0.022947077779042504,0.0729031881256803,0.020492526101348885,0.040424539101937974,0.060119191211216096,-0.246510568109922,0.08313041610536966,0.24053113217798594,0.009734548654765973,0.1111111111111111
